6104	5742.24	17252
6508	8987.95	25984
3460	10767.7	32304
17544	12840.2	35920
12772	12863.2	54028
12044	15471.6	56732
25028	16458.7	56392
16508	15716.5	63628
9636	18004.9	54048
10752	16288	63008
7420	19809.1	58168
18092	20087	62608
7776	21649.7	70992
58268	20716.6	70532
13212	21957.7	79936
75732	23007.1	75732
5500	24272.8	77808
3532	23695.3	79144
37128	24868.4	91720
17424	25762.5	87140
13820	26921.7	88000
45572	26736.1	88544
26948	27028.6	100560
48280	28425.3	104048
22908	19116.5	82580
20808	18862.5	83472
37140	23759.2	82916
62192	27861.7	100304
15148	28534.8	122912
17932	29299.1	99688
40068	30492.1	106992
16124	32267.8	98688
12832	16821.3	121668
8228	14251.6	62376
8128	15649.7	80160
55700	21264.7	81208
22792	26624.2	112648
45316	29278.3	106460
37184	31747.1	113680
36240	33889.2	127988
23448	35380.6	134240
69084	35719.7	125092
46152	32024.8	132012
12124	35404.1	126684
76852	35742.7	122492
22612	36959.6	130944
61252	36264.9	138152
60372	36608.9	119452
49720	38617.2	128720
33172	39310.6	133008
80364	39954.8	134760
36504	39879.9	123904
25504	40072.2	138524
37916	37575.5	133092
26916	40052.8	127896
73460	41729.4	131792
15788	42640.7	130352
32804	43090.5	159732
1672	43383.5	141828
32600	44130.9	147628
68384	43792.1	133660
130332	43956.2	149328
27996	44966.2	156128
13208	42822.6	157636
36668	45092.9	157552
76388	45398	167780
89464	45988.7	148264
20352	46028	150692
67940	46079.8	165404
78612	46350.2	169996
36084	47203.9	151592
70692	47715.8	151360
23812	44807.4	176864
85472	48199.8	164376
56428	47749.2	157004
60420	49497.9	150016
39420	49428.1	173256
113724	49558.2	170768
112432	49762.6	176804
31232	50310.3	147160
43244	46503	174712
113772	51591.3	176608
26184	53406.1	168036
78812	49911.2	174368
111528	49218.9	167888
16300	50482.4	155172
70832	52298.2	168884
24808	51805.3	178080
37916	50465.5	177484
16560	52862.4	180384
13800	53809.5	176592
16880	51701.3	177280
24656	53565.7	176336
56076	52643.4	182648
89868	54379	173704
75268	55069	177252
40000	52137.1	174140
21756	49199.8	232148
21752	41330.4	153148
18412	49786.8	190908
54012	46534	173164
39472	55201.9	184212
36012	54390.2	228992
75644	55097.9	175444
30944	56350.7	177252
